site,date,epil_gm2,fila_gm2,epil_chla_mgm2,fila_chla_mgm2,GPP,ER,NPP,light,fila_prod_gCd,fila_turnover,epil_prod_gCd,epil_turnover,p_fila,p_epil
BG,6/22/2021,11.62604607,63.69418804,20.49156657,105.0963705,11.66956523,-11.76067808,4.351049003,0.96367942,2.093741864,15.21061148,1.54602443,3.759981357,0.065743577,0.265958765
BG,6/23/2021,11.85697783,65.45145862,20.78838777,108.3649647,10.26386442,-10.8897314,3.826927239,0.951244863,2.131002957,15.356961,1.548181025,3.829325394,0.06511705,0.261142603
BG,6/24/2021,12.09180205,67.24959414,21.08827205,111.737845,10.59433763,-11.39901855,3.950145637,0.921309394,2.128181309,15.79978027,1.521090666,3.974714434,0.063292019,0.251590401
BG,6/25/2021,12.33013132,69.08197291,21.39026487,115.2224332,9.239424635,-10.44679598,3.444960335,0.839061183,1.998635084,17.28228767,1.405136124,4.387522,0.05786271,0.227919085
BG,6/26/2021,12.57154584,70.94119069,21.69335975,118.82676,9.871222939,-11.2220153,3.680529127,0.962463754,2.36429396,15.0026164,1.634631291,3.845376602,0.06665504,0.260052552
BG,6/27/2021,12.81559231,72.81902793,21.99649751,122.5595103,11.25817314,-11.35104667,4.197659641,0.958749024,2.429152533,14.98856637,1.651076042,3.880981854,0.066717522,0.257666755
BG,6/28/2021,13.06178296,74.70642594,22.29856609,126.4300739,12.83330212,-12.38391263,4.784953447,0.964302442,2.520382716,14.82045275,1.683444527,3.879481252,0.067474322,0.257766422
BG,6/29/2021,13.30959468,76.5934734,22.59840085,130.4486009,12.76055157,-13.12878299,4.757828085,0.972842236,2.623521799,14.59745321,1.721189674,3.86639395,0.068505101,0.258638932
BG,6/30/2021,13.55846842,78.46940491,22.89478543,134.6260631,12.62510688,-13.63572738,4.707326934,0.968653392,2.695878925,14.55358477,1.736255314,3.904514592,0.068711593,0.256113782
BG,7/1/2021,13.80780874,80.3226133,23.18645315,138.9743214,11.19629027,-14.89186501,4.174586341,0.857119379,2.462514015,16.30906724,1.55590917,4.437215554,0.061315585,0.225366559
BG,7/2/2021,14.05698366,82.14067724,23.47208909,143.5062013,11.94787114,-13.0460101,4.45481659,0.931195335,2.76257638,14.86667986,1.711201464,4.107343279,0.067264514,0.24346638
BG,7/3/2021,14.3053247,83.91040588,23.75033281,148.2355753,13.442858,-13.72246675,5.012229053,0.994451811,3.047467063,13.76723754,1.849107028,3.86817109,0.072636213,0.258520106
BG,7/4/2021,14.55212723,85.61790177,24.01978172,153.177455,12.73088069,-13.96323062,4.746765166,0.900614432,2.851915056,15.01059816,1.693622307,4.296154808,0.066619597,0.232766286
BG,7/5/2021,14.79665116,87.24864331,24.27899526,158.3480932,13.00594994,-14.87098231,4.849325953,0.97631443,3.19598977,13.64970629,1.855790833,3.986616081,0.07326165,0.250839303
BG,7/6/2021,15.03812186,88.78758771,24.52649973,163.7650965,14.2367249,-15.65119964,5.30822584,0.986579613,3.340075752,13.2912536,1.894420202,3.969056561,0.075237448,0.251949042
BG,7/7/2021,15.27573157,90.21929496,24.76079394,169.4475513,8.588743422,-15.15789686,3.202350967,0.716190747,2.508804598,17.98053444,1.388359314,5.501361003,0.055615699,0.181773201
BG,7/8/2021,15.50813261,91.52586748,24.98039791,175.3959693,14.01978413,-14.81891225,5.227338512,0.988586632,3.584570916,12.76664204,1.933404354,4.010576622,0.078329133,0.249340704
BG,7/9/2021,15.73185762,92.68027705,25.18398979,181.5261905,16.35527917,-16.33121505,6.098138166,0.866176615,3.250488116,14.25636301,1.707810172,4.605856633,0.070144117,0.217114878
BG,7/10/2021,15.94275641,93.6528862,25.37029046,187.7195994,21.10332264,-24.01694603,7.868467171,0.989684268,3.840688809,12.19219922,1.965760992,4.055110583,0.082019657,0.246602399
BG,7/11/2021,16.13651559,94.41406589,25.53802874,193.8412031,18.25821602,-18.03501244,6.807656588,0.984466764,3.945027089,11.96621262,1.968326034,4.09904541,0.08356863,0.243959239
BG,7/12/2021,16.30869518,94.93475246,25.68594868,199.739723,21.08182644,-19.71876144,7.86045222,0.975963824,4.02996243,11.77861507,1.962627759,4.154811096,0.084899625,0.240684829
BG,7/13/2021,16.4547761,95.18707606,25.81281726,205.2487553,17.79198495,-19.74434119,6.633820272,0.961024974,4.077726,11.67158804,1.942131747,4.236266701,0.085678144,0.236056904
BG,7/14/2021,16.57021877,95.1450484,25.9174324,210.1891731,20.24849637,-20.83123162,7.549741419,0.970770972,4.2182271,11.27784803,1.969778363,4.206112494,0.088669398,0.237749228
BG,7/15/2021,16.65070143,94.78782592,25.99885974,214.3755342,19.41104463,-19.40429805,7.237493833,0.964980994,4.276582099,11.08219411,1.964181732,4.23858474,0.090234839,0.235927806
BG,7/16/2021,16.69270976,94.1079134,26.05713012,217.6295085,17.41060521,-19.24258058,6.491621149,0.960982643,4.323506927,10.88328468,1.960427256,4.257416262,0.091884025,0.234884244
BG,7/17/2021,16.69311277,93.10381556,26.09256467,219.7788406,17.96425191,-19.4639859,6.698050769,0.965794012,4.388066702,10.60875117,1.972921854,4.230555999,0.094261802,0.23637555
BG,7/18/2021,16.64906449,91.77766239,26.10554458,220.6618278,17.91069207,-20.03597819,6.678080746,0.959063773,4.374994707,10.48888839,1.96014794,4.246889775,0.095338988,0.235466436
BG,7/19/2021,16.55807431,90.13531288,26.09650771,220.1350821,7.903985794,-15.6258321,2.947036057,0.685733602,3.120667695,14.44167109,1.40102676,5.909264113,0.069244064,0.169225809
BG,7/20/2021,16.41807697,88.18638744,26.06594482,218.0816859,12.4220812,-17.10697139,4.631627908,0.710059127,3.201227541,13.7738393,1.449027383,5.665205904,0.072601399,0.176516091
BG,7/21/2021,16.22810397,85.94824838,26.01464341,214.4392309,10.02153549,-15.76068009,3.736573828,0.749355625,3.321964957,12.93635687,1.526210565,5.316469546,0.077301516,0.188094748
BG,7/22/2021,15.9906886,83.4606797,25.94464602,209.2828037,12.20192807,-16.1000831,4.54954284,0.942590275,4.078113737,10.23275527,1.91460554,4.175974703,0.09772539,0.239465052
BG,7/23/2021,15.71222846,80.7848629,25.85935287,202.832281,10.42195019,-15.62020348,3.885870217,0.958379494,4.018624444,10.05130786,1.940277161,4.048964956,0.09948954,0.246976699
BG,7/24/2021,15.40195622,77.99402724,25.763149,195.4065608,11.33448882,-14.92026025,4.226114281,0.951809866,3.844963112,10.14236352,1.91980781,4.011327628,0.098596348,0.249294023
BG,7/25/2021,15.0693197,75.15762369,25.66056897,187.3279308,11.05083374,-14.1819727,4.120352231,0.941313104,3.645352034,10.30869213,1.891076043,3.984324098,0.097005516,0.250983599
BG,7/26/2021,14.7232515,72.3373143,25.55608775,178.8916991,9.94417006,-13.86081897,3.707727783,0.895440007,3.31153628,10.92201749,1.791593472,4.108982237,0.091558176,0.243369268
BG,7/27/2021,14.37207414,69.58681751,25.45411383,170.3590906,10.25186219,-13.99200222,3.822452154,0.886864854,3.123385514,11.13964594,1.767355977,4.065981706,0.08976946,0.245943064
BG,7/28/2021,14.02345144,66.95219007,25.3589898,161.9539512,8.846817384,-12.43671056,3.298574985,0.870204599,2.913504924,11.48997373,1.727674527,4.058476068,0.087032401,0.246397905
BG,7/29/2021,13.68442306,64.47106104,25.27491065,153.8609159,11.01687468,-12.89920442,4.107690446,0.643006495,2.045250501,15.76116495,1.272370513,5.377530728,0.063447087,0.185958956
BG,7/30/2021,13.36155103,62.16973393,25.2056726,146.2232977,11.63969362,-12.89347274,4.339911241,0.909461006,2.749181997,11.3069513,1.794696353,3.722510219,0.08844117,0.268635931
BG,7/31/2021,13.06084093,60.06898573,25.15496347,139.1532166,12.17156006,-13.12707051,4.538219994,0.89821572,2.583906149,11.62367793,1.768939375,3.691715248,0.086031289,0.270876797
BG,8/1/2021,12.78778671,58.18646381,25.12647596,132.7382401,8.970305552,-12.87507895,3.344618095,0.713391129,1.95761189,14.86159338,1.403356121,4.55614456,0.067287536,0.219483817
BG,8/2/2021,12.54748288,56.53762814,25.1239364,127.0467384,8.534550255,-11.12715667,3.182144805,0.54182955,1.423079103,19.86454162,1.065758927,5.88664217,0.050340955,0.169876132
BG,8/3/2021,12.34475706,55.13672757,25.15113885,122.1335397,12.42538289,-12.63866332,4.632858961,0.857812374,2.165858526,12.72860783,1.689112469,3.654214058,0.078563187,0.273656656
BG,8/4/2021,12.18388598,53.99407006,25.21168067,118.0332212,11.93056911,-11.73701352,4.448365455,0.85442061,2.084869182,12.9490307,1.686483591,3.612215986,0.077225858,0.276838374
BG,8/5/2021,12.06702077,53.10261002,25.30777267,114.7187043,9.678269004,-11.10998441,3.608585399,0.812303578,1.926439762,13.78257734,1.609462631,3.748773206,0.07255537,0.266753934
BG,8/6/2021,11.9938222,52.43622784,25.43990959,112.0999141,11.81580936,-11.00565072,4.405576775,0.819371723,1.898843124,13.80741441,1.631943589,3.674704899,0.072424856,0.272130696
BG,8/7/2021,11.96196787,51.95461758,25.60715553,110.0433318,11.35707479,-11.20019508,4.234535561,0.830745,1.889880316,13.74547825,1.665473328,3.591161642,0.072751197,0.278461428
BG,8/8/2021,11.96908099,51.6173068,25.80836221,108.4198431,4.976678673,-7.809728694,1.855576652,0.565042251,1.266463074,20.37852814,1.141694674,5.24180469,0.049071257,0.190773991
BG,8/9/2021,12.01315355,51.38615601,26.04246073,107.1122427,10.98429034,-9.855915021,4.095541229,0.661039915,1.463759177,17.55280405,1.347777831,4.456652006,0.056970954,0.224383685
BG,8/10/2021,12.09248497,51.22447401,26.30844385,106.0115277,10.06189324,-9.819202191,3.75162139,0.800306033,1.753929038,14.60277836,1.64838957,3.667969392,0.068480119,0.27263041
BG,8/11/2021,12.20562834,51.09640815,26.6053491,105.0143869,11.43638464,-11.27274731,4.264106588,0.825230428,1.791541481,14.26045913,1.718908667,3.55040049,0.070123969,0.281658366
BG,8/12/2021,12.35104066,50.96574642,26.93209726,104.0199277,12.12173499,-11.55242062,4.519642499,0.829223301,1.783162322,14.29083202,1.748438166,3.532021006,0.069974932,0.283124024
BG,8/13/2021,12.52610156,50.79329939,27.28702587,102.9238839,12.84298192,-11.95087669,4.788562606,0.829188937,1.764300268,14.39474344,1.771406805,3.535636627,0.069469804,0.282834495
BG,8/14/2021,12.72790366,50.53963407,27.66828135,101.6247932,12.1164804,-11.70663547,4.517683299,0.823583974,1.730256129,14.60466841,1.784015721,3.567206138,0.068471257,0.280331431
BG,8/15/2021,12.95347384,50.16639547,28.07393873,100.0273457,12.21190681,-11.84165836,4.55326346,0.814153223,1.683556615,14.89893331,1.789443955,3.619413115,0.067118899,0.276287887
BG,8/16/2021,13.1997061,49.63707033,28.50198041,98.0447937,12.57739534,-12.07695088,4.689537472,0.800712915,1.622946505,15.2922694,1.786736369,3.693803498,0.065392518,0.270723659
BG,8/17/2021,13.46330167,48.9180127,28.95027635,95.60210607,7.572342228,-11.72604887,2.823381287,0.680129884,1.344194615,18.1960306,1.541534248,4.3668513,0.054957041,0.228997951
BG,8/18/2021,13.74083423,47.98185406,29.41667055,92.64754266,6.398436758,-10.05092777,2.385685441,0.569242425,1.090269842,22.00457732,1.310990013,5.240632687,0.04544509,0.190816655
BG,8/19/2021,14.02925389,46.81734868,29.89942403,89.18609117,10.29741863,-10.54268298,3.839438076,0.670051458,1.23540149,18.94823223,1.568482167,4.472238887,0.052775372,0.223601651
BG,8/20/2021,14.32631647,45.43226542,30.39746948,85.28384291,10.00315623,-12.37211116,3.729721038,0.670791889,1.182653165,19.20777231,1.596371039,4.487151209,0.052062258,0.222858547
BG,8/21/2021,14.6306808,43.85011563,30.91040245,81.05031971,7.445289298,-12.29923945,2.77600904,0.571183332,0.957046617,22.90908032,1.382256981,5.292315757,0.043650814,0.1889532
BG,8/22/2021,14.94111758,42.09878615,31.43793392,76.59725308,8.918073682,-11.66086989,3.325143211,0.764092029,1.20993405,17.39714084,1.880651274,3.972325381,0.05748071,0.251741714
BG,8/23/2021,15.25628746,40.20720613,31.97974272,72.02675082,9.889101466,-10.74905349,3.687195215,0.784134585,1.167581667,17.2181558,1.963243559,3.885480075,0.058078229,0.257368454
BG,8/24/2021,15.57473609,38.20462507,32.53547273,67.42918754,10.40763882,-11.18583798,3.880534159,0.78573273,1.09528113,17.44055659,2.00143077,3.890900531,0.05733762,0.257009911
BG,8/25/2021,15.89489045,36.11994334,33.10473015,62.88203407,10.61566642,-12.03814744,3.958098171,0.728999067,0.947668377,19.05726952,1.889407485,4.206316154,0.052473414,0.237737717
BG,8/26/2021,16.21533472,33.98235647,33.68717902,58.45140281,7.806979789,-10.15789266,2.910866939,0.637830078,0.770730895,22.0455393,1.682202393,4.819674132,0.04536065,0.207482907
BG,8/27/2021,16.53568594,31.82394802,34.28284661,54.19697421,7.674113927,-10.35084219,2.861327315,0.558709183,0.625984651,25.4191121,1.499585704,5.513418106,0.039340477,0.181375688
BG,8/28/2021,16.85583364,29.67444604,34.89185023,50.16537134,10.47846371,-11.64068162,3.906941534,0.677983169,0.703114054,21.10215682,1.852044934,4.550600617,0.047388521,0.219751212
BG,8/29/2021,17.1756725,27.55955392,35.51430171,46.38958518,10.80538412,-11.68252485,4.028835253,0.732625896,0.702595864,19.61266449,2.037014649,4.215893221,0.050987463,0.237197658
BG,8/30/2021,17.49510262,25.50086093,36.15030678,42.89087623,10.53188996,-12.73121615,3.926861747,0.73610556,0.652691341,19.53516105,2.083342589,4.198805975,0.051189749,0.238162946
BG,8/31/2021,17.81402971,23.51590797,36.79996458,39.68078744,10.32120636,-13.72363608,3.848307434,0.738183548,0.605546471,19.41709603,2.126769233,4.188049516,0.051501007,0.238774636
BG,9/1/2021,18.13236532,21.61837741,37.46336701,36.76313546,8.989038909,-12.06822251,3.35160291,0.74916314,0.569366329,18.98459422,2.197312442,4.126032551,0.052674289,0.242363575
BG,9/2/2021,18.45002702,19.81837599,38.14059815,34.13588834,9.948074733,-10.94571001,3.709183658,0.733219287,0.517425614,19.15094213,2.189424565,4.21344204,0.052216752,0.237335649
BG,9/3/2021,18.76689335,18.12253965,38.83161536,31.79018414,9.824800739,-10.38025575,3.663220404,0.723312429,0.475359093,19.06194699,2.198973479,4.267194107,0.052460538,0.23434603
BG,9/4/2021,19.08258554,16.53358625,39.53574987,29.70247951,10.23907586,-10.47283628,3.817684716,0.679072588,0.416976653,19.82555395,2.101913244,4.5393371,0.050439953,0.220296483
BG,9/5/2021,19.39635271,15.05106801,40.25163143,27.83907499,10.30632417,-10.59699478,3.842758543,0.703362007,0.404796306,18.59091571,2.216516658,4.375413251,0.053789712,0.22854984
BG,9/6/2021,19.70732981,13.67306457,40.97764925,26.16887126,10.27088654,-10.66876537,3.829545469,0.685803076,0.371011399,18.42674457,2.200164109,4.47860451,0.054268946,0.223283837
BG,9/7/2021,20.01461308,12.39670797,41.71207042,24.66541251,10.79717112,-10.9504256,4.025773,0.67431874,0.343840039,18.02685346,2.202092629,4.54445304,0.055472798,0.220048484
BG,9/8/2021,20.31726155,11.21837227,42.45303587,23.30609201,10.61093357,-11.1632885,3.956333505,0.691415758,0.333128327,16.83791402,2.298034967,4.420572758,0.059389779,0.22621503
BG,9/9/2021,20.61429879,10.13384715,43.19855721,22.07150695,8.95936408,-10.1934416,3.340538519,0.658404519,0.300419157,16.86617998,2.226745851,4.6287947,0.059290248,0.216038962
BG,9/10/2021,20.90462937,9.138377636,43.94648829,20.94382942,9.752533349,-11.5017119,3.636275188,0.588368002,0.254746351,17.93622872,2.024332414,5.163339091,0.05575308,0.193673122
BG,9/11/2021,21.18677522,8.226539935,44.69444204,19.90347842,9.491268421,-10.31893593,3.538861404,0.457517421,0.188251936,21.84981491,1.600920488,6.617060429,0.045766978,0.151124508
BG,9/12/2021,21.45912119,7.392837848,45.43986255,18.93269847,9.776247193,-10.21635042,3.645117,0.501584076,0.196317535,18.82877613,1.784388256,6.013019061,0.053110196,0.166305809
BG,9/13/2021,21.7200046,6.631893881,46.18005124,18.0163067,9.687001105,-9.886921959,3.611841201,0.626877877,0.233481,14.20221322,2.26644905,4.791637517,0.070411561,0.208696922
BG,9/14/2021,21.96772227,5.938489739,46.91216941,17.14133818,9.518157701,-9.717826296,3.548887191,0.610516185,0.216343942,13.72464992,2.242287549,4.898506946,0.072861603,0.204143836
BG,9/15/2021,22.20053882,5.307598376,47.63324228,16.2967849,8.375318273,-9.362241327,3.122774456,0.610140429,0.205558089,12.91021533,2.275351799,4.878484909,0.077458042,0.204981673
BG,9/16/2021,22.41682791,4.734410881,48.34036461,15.47378072,8.455201558,-9.01559029,3.152559293,0.659004882,0.210808396,11.22918007,2.494061511,4.494040706,0.089053697,0.222516899
BG,9/17/2021,22.61548734,4.214359605,49.03133024,14.66644425,8.224257714,-9.038165601,3.066450859,0.573092491,0.173761032,12.12688353,2.199920571,5.140069063,0.082461417,0.194549915
BG,9/18/2021,22.795568,3.743119997,49.7040784,13.870421,7.880897115,-9.331692716,2.938427341,0.550559836,0.157869053,11.85514173,2.142422687,5.320044485,0.084351585,0.187968353
BG,9/19/2021,22.95615012,3.316615598,50.35650552,13.08241572,7.273298914,-8.849610852,2.711881665,0.44798495,0.121158588,13.68708421,1.766150121,6.498923804,0.07306158,0.15387163
BG,9/20/2021,23.09634904,2.931021463,50.9864719,12.30014291,6.396733481,-8.260449015,2.385050367,0.303546523,0.07718595,18.98675509,1.211682486,9.530693599,0.052668294,0.104924158
BG,9/21/2021,23.21532086,2.582763789,51.59180903,11.5222796,7.698392151,-8.908249579,2.870379558,0.611537375,0.14566803,8.86523893,2.470087668,4.699290873,0.112800118,0.212798064
BG,9/22/2021,23.31226836,2.268516382,52.17032749,10.74841522,7.748564468,-9.366743135,2.889086529,0.585265588,0.130046976,8.721911293,2.390480245,4.876063797,0.114653769,0.205083453
BG,9/23/2021,23.38675048,1.98518259,52.72012637,9.979585632,7.779522649,-9.245799628,2.900629423,0.542868917,0.111998014,8.862579467,2.24068097,5.218670305,0.112833967,0.191619693
BG,9/24/2021,23.43960492,1.729860662,53.24052776,9.219659114,8.308280652,-9.544802367,3.097779183,0.58228743,0.110982656,7.7933829,2.427103929,4.828718837,0.128313983,0.207094269
BG,9/25/2021,23.47204365,1.499883542,53.73121997,8.472937152,8.33401345,-9.779225582,3.107373771,0.576003416,0.100893196,7.433026227,2.423038793,4.843513796,0.134534706,0.206461681
BG,9/26/2021,23.48534005,1.292816555,54.19196239,7.743430007,8.368003584,-9.870497563,3.120047143,0.572971472,0.091721091,7.047542417,2.430952561,4.830480946,0.141893435,0.207018724
BG,9/27/2021,23.48081821,1.106440818,54.6225847,7.034810621,8.256509253,-9.72756511,3.078475988,0.563980722,0.082019951,6.744949301,2.411821223,4.867860434,0.148259083,0.205429061
BG,9/28/2021,23.45984262,0.938737227,55.02298575,6.350375679,4.617726473,-7.780182881,1.721739737,0.206070487,0.027053163,17.34986079,0.887704778,13.21376385,0.05763735,0.075678664
BG,9/29/2021,23.4238086,0.787871134,55.39313222,5.693014532,6.606325422,-8.317455532,2.463197649,0.543285511,0.063940091,6.161010426,2.356094214,4.970898122,0.162311038,0.20117089
BG,9/30/2021,23.37426723,0.65216133,55.73319629,5.065340461,6.629369799,-8.625899061,2.471789847,0.547178282,0.057298114,5.690949356,2.387544138,4.895044004,0.175717607,0.204288255
BG,10/1/2021,23.31340562,0.530015796,56.04408609,4.470136861,6.004983707,-8.288212011,2.238984731,0.474055288,0.043807922,6.049314559,2.080019437,5.604131674,0.165307985,0.178439776
BG,10/2/2021,23.24389785,0.41995502,56.3273646,3.909963005,6.750589006,-8.751080208,2.516986964,0.545653346,0.044105455,4.760805913,2.406272798,4.829855092,0.21004847,0.207045549
BG,10/3/2021,23.1684884,0.320668153,56.58478646,3.386545514,6.72053497,-9.115584464,2.505781184,0.521022285,0.036476743,NA,2.308152967,5.018837298,#VALUE!,0.199249336
BG,10/4/2021,23.08989403,0.231004709,56.81818169,2.900748254,6.872309897,-9.431528196,2.562371137,0.521673197,0.031283216,NA,2.320568868,4.975050375,#VALUE!,0.20100299
BG,10/5/2021,23.01079861,0.149952971,57.02944704,2.452687487,6.765840914,-9.505662127,2.522673706,0.521620158,0.026448401,NA,2.328960557,4.940143477,#VALUE!,0.202423271
BG,10/6/2021,22.93385108,0.076621517,57.22053791,2.041848867,6.6860507,-9.603292923,2.492923571,0.452228327,0.019089045,NA,2.025901404,5.660159729,#VALUE!,0.176673459
BG,10/7/2021,22.86149421,0.010225523,57.39341947,1.667212722,5.237197045,-9.233329408,1.952712079,0.340290918,0.011728547,NA,1.529047813,7.475729019,#VALUE!,0.133766218
BG,10/8/2021,22.79545587,0,57.54993463,1.327385019,5.628222583,-8.734077076,2.09850768,0.403442811,0.011070869,NA,1.81775531,6.270221229,#VALUE!,0.159484006
BG,10/9/2021,22.73705121,0,57.69185025,1.020653645,6.019248122,-8.234824744,2.244303281,0.494043559,0.01042429,NA,2.23145594,5.094667299,#VALUE!,0.196283671
BG,10/10/2021,22.686687,0,57.82068031,0.745077019,4.631182578,-8.053613335,1.726756905,0.251355423,0.003871616,NA,1.13783703,9.969216328,#VALUE!,0.100308787
BG,10/11/2021,22.64454902,0,57.93789148,0.498557071,4.237908534,-7.444188114,1.580122938,0.360075002,0.003711169,NA,1.633293615,6.932173375,#VALUE!,0.144254903
BG,10/12/2021,22.61082987,0,58.04497019,0.278910035,3.840056845,-6.970627741,1.431782177,0.312460828,0.001801617,NA,1.419936026,7.961918515,#VALUE!,0.125597869
BN,6/22/2021,7.661309634,69.60446168,13.72269967,97.20342825,9.86148248,-9.816075623,4.79055457,0.947262946,1.903509137,18.28319611,1.017697516,3.764040646,0.054695032,0.265671945
BN,6/23/2021,7.757578184,71.91523434,13.9730409,100.8273783,9.846210695,-9.276967461,4.783135775,0.935905107,1.950801706,18.43222562,1.023838259,3.788478363,0.054252808,0.263958219
BN,6/24/2021,7.85537446,74.29046448,14.22789617,104.5867827,9.856958606,-9.353547494,4.788356942,0.897761028,1.941066375,19.13650802,1.000023124,3.927596409,0.052256138,0.254608645
BN,6/25/2021,7.955149288,76.71955041,14.48773477,108.4889719,8.487203481,-8.350077014,4.12295124,0.828513374,1.858180726,20.64372678,0.939741955,4.23262431,0.048440866,0.236260043
BN,6/26/2021,8.057373934,79.19036317,14.75305324,112.5417974,9.332887621,-8.775990392,4.533771422,0.947281123,2.203918673,17.96580884,1.094131193,3.682087664,0.055661285,0.27158506
BN,6/27/2021,8.162541231,81.68917148,15.02437665,116.7536708,9.989956664,-9.365860087,4.852965327,0.943832088,2.278075516,17.92942572,1.110196381,3.676169988,0.055774235,0.272022241
BN,6/28/2021,8.271166975,84.20058823,15.30226011,121.1336052,12.5765087,-10.78740563,6.109472012,0.94912031,2.376778687,17.71317386,1.137065424,3.637067314,0.056455156,0.274946795
BN,6/29/2021,8.383791603,86.70754345,15.58729045,125.6912612,12.88079591,-11.16639703,6.257289998,0.957527382,2.488050095,17.42479856,1.168504628,3.587401967,0.057389473,0.278753262
BN,6/30/2021,8.500982186,89.19128853,15.88008804,130.436996,12.6029433,-11.50890699,6.122313529,0.95727638,2.581314766,17.27632943,1.190142202,3.571414479,0.057882666,0.280001105
BN,7/1/2021,8.623334762,91.63143649,16.18130883,135.3819174,10.91388423,-12.4154139,5.301794947,0.863270919,2.416076082,18.96286238,1.093627354,3.942537981,0.052734655,0.25364372
BN,7/2/2021,8.751477029,94.00604312,16.49164665,140.5379421,11.36648729,-10.9252257,5.521662464,0.93453132,2.715127854,17.31153157,1.206608801,3.626476545,0.057764964,0.27574975
BN,7/3/2021,8.88607144,96.29173315,16.81183571,145.9178595,11.69141207,-11.13344339,5.679505861,1,3.016555254,15.96054523,1.316205629,3.375639506,0.062654501,0.296240164
BN,7/4/2021,9.027818741,98.46387541,17.14265333,151.5354011,11.67071079,-11.37657445,5.669449501,0.900495654,2.820970589,17.45212726,1.208560152,3.734948041,0.057299605,0.267741342
BN,7/5/2021,9.177461983,100.4968094,17.48492307,157.4053157,12.02039441,-11.88151764,5.839320356,0.98560947,3.20720778,15.66733688,1.349202696,3.401068649,0.063827057,0.294025232
BN,7/6/2021,9.335791063,102.3641256,17.83951801,163.5434526,13.71999012,-12.36825773,6.664957476,0.992171628,3.354461408,15.25790777,1.385729705,3.368546921,0.065539785,0.296863907
BN,7/7/2021,9.503647861,104.0389985,18.20736451,169.9668514,8.64023011,-9.929459702,4.197289193,0.728571518,2.559995799,20.32015024,1.03855113,4.575435712,0.049212235,0.21855842
BN,7/8/2021,9.681464727,105.4942825,18.58907554,176.6728797,14.30820602,-12.08134471,6.950703597,0.993945823,3.630240814,14.52992899,1.446535552,3.346431656,0.068823461,0.298825765
BN,7/9/2021,9.867801399,106.7020479,18.98378425,183.5698869,15.86041367,-13.22882835,7.70474189,0.877804629,3.331210997,16.01550427,1.304635714,3.781822501,0.062439495,0.264422775
BN,7/10/2021,10.06062415,107.6349036,19.39015137,190.5280622,17.06152079,-14.11572993,8.288221023,0.995352729,3.920475969,13.72727502,1.511008187,3.329109741,0.07284767,0.300380606
BN,7/11/2021,10.25774166,108.2668409,19.80671207,197.3980019,18.32070594,-14.85856949,8.899913553,0.989864302,4.039440813,13.4012164,1.534958568,3.341374119,0.074620092,0.299278071
BN,7/12/2021,10.45679338,108.5738273,20.23186682,204.0109129,19.90471627,-16.06167328,9.669401093,0.985941151,4.158217743,13.05533212,1.56169262,3.347903822,0.076597056,0.298694363
BN,7/13/2021,10.65524268,108.5344202,20.66387344,210.1801056,20.26047,-17.1235789,9.842220717,0.96862874,4.208737029,12.89394175,1.567031371,3.399817923,0.077555803,0.294133399
BN,7/14/2021,10.85037552,108.1303825,21.10084039,215.7039949,20.87598925,-17.20827151,10.14123038,0.975541254,4.350174341,12.42828149,1.611587903,3.366361678,0.080461647,0.297056614
BN,7/15/2021,11.03929014,107.3490004,21.54063681,220.3709182,19.23976191,-16.21444894,9.346376625,0.970200988,4.419964978,12.14364831,1.636171629,3.373512275,0.082347576,0.296426963
BN,7/16/2021,11.21886166,106.1886549,21.98062179,223.96601,17.63199408,-16.32600387,8.565348058,0.965987492,4.472562832,11.87111941,1.662340874,3.374416715,0.084238054,0.296347513
BN,7/17/2021,11.38580358,104.6537419,22.41787476,226.2789154,17.5972524,-16.39917561,8.548471093,0.970892738,4.541697194,11.52143543,1.70401847,3.340868593,0.086794741,0.299323356
BN,7/18/2021,11.53671073,102.7529944,22.84927895,227.1132258,17.60230464,-17.00222528,8.550925389,0.96428302,4.527409516,11.3478794,1.724986202,3.344000872,0.088122191,0.299042984
BN,7/19/2021,11.66809645,100.4994576,23.27152723,226.2971384,8.887121396,-13.88562736,4.317225133,0.690478983,3.230221923,15.55612276,1.258009602,4.63752281,0.06428337,0.215632363
BN,7/20/2021,11.77643877,97.91037649,23.68113204,223.6946215,14.9629934,-16.18168077,7.268789103,0.713684462,3.300385102,14.83317453,1.323175064,4.450068282,0.067416452,0.224715653
BN,7/21/2021,11.85863705,95.00920307,24.07467977,219.2351614,13.54444342,-15.75802549,6.57967962,0.757076923,3.431255446,13.84467064,1.426951243,4.155235545,0.07222996,0.240660244
BN,7/22/2021,11.91371641,91.83341475,24.44986638,212.9946519,15.37700932,-16.35639378,7.469911592,0.951347455,4.189003216,10.96124901,1.821060009,3.271093855,0.091230479,0.305708134
BN,7/23/2021,11.94338811,88.43381104,24.80596594,205.2040252,15.21047629,-15.65647468,7.389012437,0.963224728,4.086169079,10.821115,1.870649288,3.192310871,0.092411919,0.3132527
BN,7/24/2021,11.95165851,84.86906716,25.14373623,196.2035375,17.03059132,-17.46151493,8.273195969,0.9566551,3.880297811,10.93589607,1.883188571,3.173250595,0.091441981,0.315134267
BN,7/25/2021,11.94309125,81.19589407,25.464352,186.3435609,16.74553219,-18.45587896,8.134718679,0.946219594,3.645097604,11.13768449,1.886397329,3.165582102,0.089785269,0.315897667
